rule_label,description,set,option,item_text,is_correct
R#6 — Final voiceless stop with glottalization,"In many accents, syllable-final voiceless stops /p, t, k/ are accompanied by an overlapping glottal stop; final /t/ may surface as a pure glottal stop.",3,1,fit,1
R#6 — Final voiceless stop with glottalization,"In many accents, syllable-final voiceless stops /p, t, k/ are accompanied by an overlapping glottal stop; final /t/ may surface as a pure glottal stop.",3,2,cup,1
R#6 — Final voiceless stop with glottalization,"In many accents, syllable-final voiceless stops /p, t, k/ are accompanied by an overlapping glottal stop; final /t/ may surface as a pure glottal stop.",3,3,cook,1
R#6 — Final voiceless stop with glottalization,"In many accents, syllable-final voiceless stops /p, t, k/ are accompanied by an overlapping glottal stop; final /t/ may surface as a pure glottal stop.",3,4,rid,0
R#6 — Final voiceless stop with glottalization,"In many accents, syllable-final voiceless stops /p, t, k/ are accompanied by an overlapping glottal stop; final /t/ may surface as a pure glottal stop.",3,5,rob,0
R#6 — Final voiceless stop with glottalization,"In many accents, syllable-final voiceless stops /p, t, k/ are accompanied by an overlapping glottal stop; final /t/ may surface as a pure glottal stop.",3,6,code,0
R#6 — Final voiceless stop with glottalization,"In many accents, syllable-final voiceless stops /p, t, k/ are accompanied by an overlapping glottal stop; final /t/ may surface as a pure glottal stop.",4,1,pack,1
R#6 — Final voiceless stop with glottalization,"In many accents, syllable-final voiceless stops /p, t, k/ are accompanied by an overlapping glottal stop; final /t/ may surface as a pure glottal stop.",4,2,pit,1
R#6 — Final voiceless stop with glottalization,"In many accents, syllable-final voiceless stops /p, t, k/ are accompanied by an overlapping glottal stop; final /t/ may surface as a pure glottal stop.",4,3,pick,1
R#6 — Final voiceless stop with glottalization,"In many accents, syllable-final voiceless stops /p, t, k/ are accompanied by an overlapping glottal stop; final /t/ may surface as a pure glottal stop.",4,4,pad,0
R#6 — Final voiceless stop with glottalization,"In many accents, syllable-final voiceless stops /p, t, k/ are accompanied by an overlapping glottal stop; final /t/ may surface as a pure glottal stop.",4,5,bid,0
R#6 — Final voiceless stop with glottalization,"In many accents, syllable-final voiceless stops /p, t, k/ are accompanied by an overlapping glottal stop; final /t/ may surface as a pure glottal stop.",4,6,pig,0
R#6 — Final voiceless stop with glottalization,"In many accents, syllable-final voiceless stops /p, t, k/ are accompanied by an overlapping glottal stop; final /t/ may surface as a pure glottal stop.",5,1,cat,1
R#6 — Final voiceless stop with glottalization,"In many accents, syllable-final voiceless stops /p, t, k/ are accompanied by an overlapping glottal stop; final /t/ may surface as a pure glottal stop.",5,2,hat,1
R#6 — Final voiceless stop with glottalization,"In many accents, syllable-final voiceless stops /p, t, k/ are accompanied by an overlapping glottal stop; final /t/ may surface as a pure glottal stop.",5,3,kick,1
R#6 — Final voiceless stop with glottalization,"In many accents, syllable-final voiceless stops /p, t, k/ are accompanied by an overlapping glottal stop; final /t/ may surface as a pure glottal stop.",5,4,mad,0
R#6 — Final voiceless stop with glottalization,"In many accents, syllable-final voiceless stops /p, t, k/ are accompanied by an overlapping glottal stop; final /t/ may surface as a pure glottal stop.",5,5,rib,0
R#6 — Final voiceless stop with glottalization,"In many accents, syllable-final voiceless stops /p, t, k/ are accompanied by an overlapping glottal stop; final /t/ may surface as a pure glottal stop.",5,6,log,0
R#7 — /t/ → [ʔ] before alveolar nasal (same word),"In many accents, /t/ is replaced by a glottal stop before an alveolar nasal within the same word.",1,1,button,1
R#7 — /t/ → [ʔ] before alveolar nasal (same word),"In many accents, /t/ is replaced by a glottal stop before an alveolar nasal within the same word.",1,2,kitten,1
R#7 — /t/ → [ʔ] before alveolar nasal (same word),"In many accents, /t/ is replaced by a glottal stop before an alveolar nasal within the same word.",1,3,mountain,1
R#7 — /t/ → [ʔ] before alveolar nasal (same word),"In many accents, /t/ is replaced by a glottal stop before an alveolar nasal within the same word.",1,4,captain,1
R#7 — /t/ → [ʔ] before alveolar nasal (same word),"In many accents, /t/ is replaced by a glottal stop before an alveolar nasal within the same word.",1,5,batman,0
R#7 — /t/ → [ʔ] before alveolar nasal (same word),"In many accents, /t/ is replaced by a glottal stop before an alveolar nasal within the same word.",1,6,atlas,0
R#7 — /t/ → [ʔ] before alveolar nasal (same word),"In many accents, /t/ is replaced by a glottal stop before an alveolar nasal within the same word.",2,1,beaten,1
R#7 — /t/ → [ʔ] before alveolar nasal (same word),"In many accents, /t/ is replaced by a glottal stop before an alveolar nasal within the same word.",2,2,written,1
R#7 — /t/ → [ʔ] before alveolar nasal (same word),"In many accents, /t/ is replaced by a glottal stop before an alveolar nasal within the same word.",2,3,curtain,1
R#7 — /t/ → [ʔ] before alveolar nasal (same word),"In many accents, /t/ is replaced by a glottal stop before an alveolar nasal within the same word.",2,4,mutton,1
R#7 — /t/ → [ʔ] before alveolar nasal (same word),"In many accents, /t/ is replaced by a glottal stop before an alveolar nasal within the same word.",2,5,biting,0
R#7 — /t/ → [ʔ] before alveolar nasal (same word),"In many accents, /t/ is replaced by a glottal stop before an alveolar nasal within the same word.",2,6,metal,0
R#7 — /t/ → [ʔ] before alveolar nasal (same word),"In many accents, /t/ is replaced by a glottal stop before an alveolar nasal within the same word.",3,1,rotten,1
R#7 — /t/ → [ʔ] before alveolar nasal (same word),"In many accents, /t/ is replaced by a glottal stop before an alveolar nasal within the same word.",3,2,cotton,1
R#7 — /t/ → [ʔ] before alveolar nasal (same word),"In many accents, /t/ is replaced by a glottal stop before an alveolar nasal within the same word.",3,3,eaten,1
R#7 — /t/ → [ʔ] before alveolar nasal (same word),"In many accents, /t/ is replaced by a glottal stop before an alveolar nasal within the same word.",3,4,forgotten,1
R#7 — /t/ → [ʔ] before alveolar nasal (same word),"In many accents, /t/ is replaced by a glottal stop before an alveolar nasal within the same word.",3,5,pattern,0
R#7 — /t/ → [ʔ] before alveolar nasal (same word),"In many accents, /t/ is replaced by a glottal stop before an alveolar nasal within the same word.",3,6,Latin,0
R#7 — /t/ → [ʔ] before alveolar nasal (same word),"In many accents, /t/ is replaced by a glottal stop before an alveolar nasal within the same word.",4,1,mountain,1
R#7 — /t/ → [ʔ] before alveolar nasal (same word),"In many accents, /t/ is replaced by a glottal stop before an alveolar nasal within the same word.",4,2,curtain,1
R#7 — /t/ → [ʔ] before alveolar nasal (same word),"In many accents, /t/ is replaced by a glottal stop before an alveolar nasal within the same word.",4,3,Britain,1
R#7 — /t/ → [ʔ] before alveolar nasal (same word),"In many accents, /t/ is replaced by a glottal stop before an alveolar nasal within the same word.",4,4,written,1
R#7 — /t/ → [ʔ] before alveolar nasal (same word),"In many accents, /t/ is replaced by a glottal stop before an alveolar nasal within the same word.",4,5,detail,0
R#7 — /t/ → [ʔ] before alveolar nasal (same word),"In many accents, /t/ is replaced by a glottal stop before an alveolar nasal within the same word.",4,6,attain,0
R#7 — /t/ → [ʔ] before alveolar nasal (same word),"In many accents, /t/ is replaced by a glottal stop before an alveolar nasal within the same word.",5,1,button,1
R#7 — /t/ → [ʔ] before alveolar nasal (same word),"In many accents, /t/ is replaced by a glottal stop before an alveolar nasal within the same word.",5,2,kitten,1
R#7 — /t/ → [ʔ] before alveolar nasal (same word),"In many accents, /t/ is replaced by a glottal stop before an alveolar nasal within the same word.",5,3,beaten,1
R#7 — /t/ → [ʔ] before alveolar nasal (same word),"In many accents, /t/ is replaced by a glottal stop before an alveolar nasal within the same word.",5,4,mitten,1
R#7 — /t/ → [ʔ] before alveolar nasal (same word),"In many accents, /t/ is replaced by a glottal stop before an alveolar nasal within the same word.",5,5,batman,0
R#7 — /t/ → [ʔ] before alveolar nasal (same word),"In many accents, /t/ is replaced by a glottal stop before an alveolar nasal within the same word.",5,6,metal,0
R#8 — Alveolars → dentals before dental consonants,Alveolar consonants become dental before dental consonants (place assimilation).,1,1,eighth,1
R#8 — Alveolars → dentals before dental consonants,Alveolar consonants become dental before dental consonants (place assimilation).,1,2,tenth,1
R#8 — Alveolars → dentals before dental consonants,Alveolar consonants become dental before dental consonants (place assimilation).,1,3,wealth,1
R#8 — Alveolars → dentals before dental consonants,Alveolar consonants become dental before dental consonants (place assimilation).,1,4,at this,1
R#8 — Alveolars → dentals before dental consonants,Alveolar consonants become dental before dental consonants (place assimilation).,1,5,nice thing,1
R#8 — Alveolars → dentals before dental consonants,Alveolar consonants become dental before dental consonants (place assimilation).,1,6,eat soup,0
R#8 — Alveolars → dentals before dental consonants,Alveolar consonants become dental before dental consonants (place assimilation).,2,1,width,1
R#8 — Alveolars → dentals before dental consonants,Alveolar consonants become dental before dental consonants (place assimilation).,2,2,at that,1
R#8 — Alveolars → dentals before dental consonants,Alveolar consonants become dental before dental consonants (place assimilation).,2,3,said that,1
R#8 — Alveolars → dentals before dental consonants,Alveolar consonants become dental before dental consonants (place assimilation).,2,4,with them,1
R#8 — Alveolars → dentals before dental consonants,Alveolar consonants become dental before dental consonants (place assimilation).,2,5,add this,1
R#8 — Alveolars → dentals before dental consonants,Alveolar consonants become dental before dental consonants (place assimilation).,2,6,add on,0
R#8 — Alveolars → dentals before dental consonants,Alveolar consonants become dental before dental consonants (place assimilation).,3,1,tenth place,1
R#8 — Alveolars → dentals before dental consonants,Alveolar consonants become dental before dental consonants (place assimilation).,3,2,eighth note,1
R#8 — Alveolars → dentals before dental consonants,Alveolar consonants become dental before dental consonants (place assimilation).,3,3,at three,1
R#8 — Alveolars → dentals before dental consonants,Alveolar consonants become dental before dental consonants (place assimilation).,3,4,bad thing,1
R#8 — Alveolars → dentals before dental consonants,Alveolar consonants become dental before dental consonants (place assimilation).,3,5,red thread,1
R#8 — Alveolars → dentals before dental consonants,Alveolar consonants become dental before dental consonants (place assimilation).,3,6,eat there,1
R#8 — Alveolars → dentals before dental consonants,Alveolar consonants become dental before dental consonants (place assimilation).,4,1,at this,1
R#8 — Alveolars → dentals before dental consonants,Alveolar consonants become dental before dental consonants (place assimilation).,4,2,at those,1
R#8 — Alveolars → dentals before dental consonants,Alveolar consonants become dental before dental consonants (place assimilation).,4,3,said thanks,1
R#8 — Alveolars → dentals before dental consonants,Alveolar consonants become dental before dental consonants (place assimilation).,4,4,meet them,1
R#8 — Alveolars → dentals before dental consonants,Alveolar consonants become dental before dental consonants (place assimilation).,4,5,get this,1
R#8 — Alveolars → dentals before dental consonants,Alveolar consonants become dental before dental consonants (place assimilation).,4,6,eat apples,0
R#8 — Alveolars → dentals before dental consonants,Alveolar consonants become dental before dental consonants (place assimilation).,5,1,tenth,1
R#8 — Alveolars → dentals before dental consonants,Alveolar consonants become dental before dental consonants (place assimilation).,5,2,wealth,1
R#8 — Alveolars → dentals before dental consonants,Alveolar consonants become dental before dental consonants (place assimilation).,5,3,width,1
R#8 — Alveolars → dentals before dental consonants,Alveolar consonants become dental before dental consonants (place assimilation).,5,4,bath towel,1
R#8 — Alveolars → dentals before dental consonants,Alveolar consonants become dental before dental consonants (place assimilation).,5,5,with those,1
R#8 — Alveolars → dentals before dental consonants,Alveolar consonants become dental before dental consonants (place assimilation).,5,6,red apple,0
R#9 — Velars more front before front vowels,Velar stops become more front before more front vowels (non-distinctive quality change).,1,1,key,1
R#9 — Velars more front before front vowels,Velar stops become more front before more front vowels (non-distinctive quality change).,1,2,keep,1
R#9 — Velars more front before front vowels,Velar stops become more front before more front vowels (non-distinctive quality change).,1,3,kid,1
R#9 — Velars more front before front vowels,Velar stops become more front before more front vowels (non-distinctive quality change).,1,4,cool,0
R#9 — Velars more front before front vowels,Velar stops become more front before more front vowels (non-distinctive quality change).,1,5,caught,0
R#9 — Velars more front before front vowels,Velar stops become more front before more front vowels (non-distinctive quality change).,1,6,caw,0
R#9 — Velars more front before front vowels,Velar stops become more front before more front vowels (non-distinctive quality change).,2,1,cap,1
R#9 — Velars more front before front vowels,Velar stops become more front before more front vowels (non-distinctive quality change).,2,2,kit,1
R#9 — Velars more front before front vowels,Velar stops become more front before more front vowels (non-distinctive quality change).,2,3,kitchen,1
R#9 — Velars more front before front vowels,Velar stops become more front before more front vowels (non-distinctive quality change).,2,4,cough,0
R#9 — Velars more front before front vowels,Velar stops become more front before more front vowels (non-distinctive quality change).,2,5,cord,0
R#9 — Velars more front before front vowels,Velar stops become more front before more front vowels (non-distinctive quality change).,2,6,coo,0
R#9 — Velars more front before front vowels,Velar stops become more front before more front vowels (non-distinctive quality change).,3,1,keg,1
R#9 — Velars more front before front vowels,Velar stops become more front before more front vowels (non-distinctive quality change).,3,2,cane,1
R#9 — Velars more front before front vowels,Velar stops become more front before more front vowels (non-distinctive quality change).,3,3,candy,1
R#9 — Velars more front before front vowels,Velar stops become more front before more front vowels (non-distinctive quality change).,3,4,coal,0
R#9 — Velars more front before front vowels,Velar stops become more front before more front vowels (non-distinctive quality change).,3,5,cone,0
R#9 — Velars more front before front vowels,Velar stops become more front before more front vowels (non-distinctive quality change).,3,6,cool,0
R#9 — Velars more front before front vowels,Velar stops become more front before more front vowels (non-distinctive quality change).,4,1,kiss,1
R#9 — Velars more front before front vowels,Velar stops become more front before more front vowels (non-distinctive quality change).,4,2,kidney,1
R#9 — Velars more front before front vowels,Velar stops become more front before more front vowels (non-distinctive quality change).,4,3,cabin,1
R#9 — Velars more front before front vowels,Velar stops become more front before more front vowels (non-distinctive quality change).,4,4,coffee,0
R#9 — Velars more front before front vowels,Velar stops become more front before more front vowels (non-distinctive quality change).,4,5,cob,0
R#9 — Velars more front before front vowels,Velar stops become more front before more front vowels (non-distinctive quality change).,4,6,cog,0
R#9 — Velars more front before front vowels,Velar stops become more front before more front vowels (non-distinctive quality change).,5,1,caper,1
R#9 — Velars more front before front vowels,Velar stops become more front before more front vowels (non-distinctive quality change).,5,2,keeper,1
R#9 — Velars more front before front vowels,Velar stops become more front before more front vowels (non-distinctive quality change).,5,3,kiddo,1
R#9 — Velars more front before front vowels,Velar stops become more front before more front vowels (non-distinctive quality change).,5,4,cocoa,0
R#9 — Velars more front before front vowels,Velar stops become more front before more front vowels (non-distinctive quality change).,5,5,caulk,0
R#9 — Velars more front before front vowels,Velar stops become more front before more front vowels (non-distinctive quality change).,5,6,coarse,0
R#10 — Tap from alveolar stop or /n/ + stop between vowels (2nd unstressed),Alveolar stops and alveolar nasal + stop sequences become a voiced tap between vowels when the second vowel is unstressed.,1,1,painter,1
R#10 — Tap from alveolar stop or /n/ + stop between vowels (2nd unstressed),Alveolar stops and alveolar nasal + stop sequences become a voiced tap between vowels when the second vowel is unstressed.,1,2,splinter,1
R#10 — Tap from alveolar stop or /n/ + stop between vowels (2nd unstressed),Alveolar stops and alveolar nasal + stop sequences become a voiced tap between vowels when the second vowel is unstressed.,1,3,winter,1
R#10 — Tap from alveolar stop or /n/ + stop between vowels (2nd unstressed),Alveolar stops and alveolar nasal + stop sequences become a voiced tap between vowels when the second vowel is unstressed.,1,4,pantry,0
R#10 — Tap from alveolar stop or /n/ + stop between vowels (2nd unstressed),Alveolar stops and alveolar nasal + stop sequences become a voiced tap between vowels when the second vowel is unstressed.,1,5,enter,1
R#10 — Tap from alveolar stop or /n/ + stop between vowels (2nd unstressed),Alveolar stops and alveolar nasal + stop sequences become a voiced tap between vowels when the second vowel is unstressed.,1,6,antenna,0
R#10 — Tap from alveolar stop or /n/ + stop between vowels (2nd unstressed),Alveolar stops and alveolar nasal + stop sequences become a voiced tap between vowels when the second vowel is unstressed.,2,1,center,1
R#10 — Tap from alveolar stop or /n/ + stop between vowels (2nd unstressed),Alveolar stops and alveolar nasal + stop sequences become a voiced tap between vowels when the second vowel is unstressed.,2,2,dental,1
R#10 — Tap from alveolar stop or /n/ + stop between vowels (2nd unstressed),Alveolar stops and alveolar nasal + stop sequences become a voiced tap between vowels when the second vowel is unstressed.,2,3,planetary,0
R#10 — Tap from alveolar stop or /n/ + stop between vowels (2nd unstressed),Alveolar stops and alveolar nasal + stop sequences become a voiced tap between vowels when the second vowel is unstressed.,2,4,monetary,0
R#10 — Tap from alveolar stop or /n/ + stop between vowels (2nd unstressed),Alveolar stops and alveolar nasal + stop sequences become a voiced tap between vowels when the second vowel is unstressed.,2,5,continental,1
R#10 — Tap from alveolar stop or /n/ + stop between vowels (2nd unstressed),Alveolar stops and alveolar nasal + stop sequences become a voiced tap between vowels when the second vowel is unstressed.,2,6,intern,0
R#10 — Tap from alveolar stop or /n/ + stop between vowels (2nd unstressed),Alveolar stops and alveolar nasal + stop sequences become a voiced tap between vowels when the second vowel is unstressed.,3,1,wintering,1
R#10 — Tap from alveolar stop or /n/ + stop between vowels (2nd unstressed),Alveolar stops and alveolar nasal + stop sequences become a voiced tap between vowels when the second vowel is unstressed.,3,2,painterly,1
R#10 — Tap from alveolar stop or /n/ + stop between vowels (2nd unstressed),Alveolar stops and alveolar nasal + stop sequences become a voiced tap between vowels when the second vowel is unstressed.,3,3,splintering,1
R#10 — Tap from alveolar stop or /n/ + stop between vowels (2nd unstressed),Alveolar stops and alveolar nasal + stop sequences become a voiced tap between vowels when the second vowel is unstressed.,3,4,pantryman,0
R#10 — Tap from alveolar stop or /n/ + stop between vowels (2nd unstressed),Alveolar stops and alveolar nasal + stop sequences become a voiced tap between vowels when the second vowel is unstressed.,3,5,entering,1
R#10 — Tap from alveolar stop or /n/ + stop between vowels (2nd unstressed),Alveolar stops and alveolar nasal + stop sequences become a voiced tap between vowels when the second vowel is unstressed.,3,6,intense,0
R#10 — Tap from alveolar stop or /n/ + stop between vowels (2nd unstressed),Alveolar stops and alveolar nasal + stop sequences become a voiced tap between vowels when the second vowel is unstressed.,4,1,Santa Ana,1
R#10 — Tap from alveolar stop or /n/ + stop between vowels (2nd unstressed),Alveolar stops and alveolar nasal + stop sequences become a voiced tap between vowels when the second vowel is unstressed.,4,2,center of,1
R#10 — Tap from alveolar stop or /n/ + stop between vowels (2nd unstressed),Alveolar stops and alveolar nasal + stop sequences become a voiced tap between vowels when the second vowel is unstressed.,4,3,winter is,1
R#10 — Tap from alveolar stop or /n/ + stop between vowels (2nd unstressed),Alveolar stops and alveolar nasal + stop sequences become a voiced tap between vowels when the second vowel is unstressed.,4,4,pantry of,0
R#10 — Tap from alveolar stop or /n/ + stop between vowels (2nd unstressed),Alveolar stops and alveolar nasal + stop sequences become a voiced tap between vowels when the second vowel is unstressed.,4,5,intend it,0
R#10 — Tap from alveolar stop or /n/ + stop between vowels (2nd unstressed),Alveolar stops and alveolar nasal + stop sequences become a voiced tap between vowels when the second vowel is unstressed.,4,6,dinner is,0
R#10 — Tap from alveolar stop or /n/ + stop between vowels (2nd unstressed),Alveolar stops and alveolar nasal + stop sequences become a voiced tap between vowels when the second vowel is unstressed.,5,1,painter,1
R#10 — Tap from alveolar stop or /n/ + stop between vowels (2nd unstressed),Alveolar stops and alveolar nasal + stop sequences become a voiced tap between vowels when the second vowel is unstressed.,5,2,winter,1
R#10 — Tap from alveolar stop or /n/ + stop between vowels (2nd unstressed),Alveolar stops and alveolar nasal + stop sequences become a voiced tap between vowels when the second vowel is unstressed.,5,3,enter,1
R#10 — Tap from alveolar stop or /n/ + stop between vowels (2nd unstressed),Alveolar stops and alveolar nasal + stop sequences become a voiced tap between vowels when the second vowel is unstressed.,5,4,country,0
R#10 — Tap from alveolar stop or /n/ + stop between vowels (2nd unstressed),Alveolar stops and alveolar nasal + stop sequences become a voiced tap between vowels when the second vowel is unstressed.,5,5,interest,0
R#10 — Tap from alveolar stop or /n/ + stop between vowels (2nd unstressed),Alveolar stops and alveolar nasal + stop sequences become a voiced tap between vowels when the second vowel is unstressed.,5,6,panther,0
R#11 — Alveolar stop deletion/reduction between two consonants,Alveolar stops are reduced or omitted when between two consonants.,1,1,most people,1
R#11 — Alveolar stop deletion/reduction between two consonants,Alveolar stops are reduced or omitted when between two consonants.,1,2,best game,1
R#11 — Alveolar stop deletion/reduction between two consonants,Alveolar stops are reduced or omitted when between two consonants.,1,3,west bank,1
R#11 — Alveolar stop deletion/reduction between two consonants,Alveolar stops are reduced or omitted when between two consonants.,1,4,best actor,0
R#11 — Alveolar stop deletion/reduction between two consonants,Alveolar stops are reduced or omitted when between two consonants.,1,5,lost it,0
R#11 — Alveolar stop deletion/reduction between two consonants,Alveolar stops are reduced or omitted when between two consonants.,1,6,post office,0
R#11 — Alveolar stop deletion/reduction between two consonants,Alveolar stops are reduced or omitted when between two consonants.,2,1,first prize,1
R#11 — Alveolar stop deletion/reduction between two consonants,Alveolar stops are reduced or omitted when between two consonants.,2,2,last man,1
R#11 — Alveolar stop deletion/reduction between two consonants,Alveolar stops are reduced or omitted when between two consonants.,2,3,guest book,1
R#11 — Alveolar stop deletion/reduction between two consonants,Alveolar stops are reduced or omitted when between two consonants.,2,4,best album,0
R#11 — Alveolar stop deletion/reduction between two consonants,Alveolar stops are reduced or omitted when between two consonants.,2,5,past event,0
R#11 — Alveolar stop deletion/reduction between two consonants,Alveolar stops are reduced or omitted when between two consonants.,2,6,post area,0
R#11 — Alveolar stop deletion/reduction between two consonants,Alveolar stops are reduced or omitted when between two consonants.,3,1,cold cuts,1
R#11 — Alveolar stop deletion/reduction between two consonants,Alveolar stops are reduced or omitted when between two consonants.,3,2,wild card,1
R#11 — Alveolar stop deletion/reduction between two consonants,Alveolar stops are reduced or omitted when between two consonants.,3,3,old boy,1
R#11 — Alveolar stop deletion/reduction between two consonants,Alveolar stops are reduced or omitted when between two consonants.,3,4,old apple,0
R#11 — Alveolar stop deletion/reduction between two consonants,Alveolar stops are reduced or omitted when between two consonants.,3,5,lost item,0
R#11 — Alveolar stop deletion/reduction between two consonants,Alveolar stops are reduced or omitted when between two consonants.,3,6,most orange,0
R#11 — Alveolar stop deletion/reduction between two consonants,Alveolar stops are reduced or omitted when between two consonants.,4,1,next train,1
R#11 — Alveolar stop deletion/reduction between two consonants,Alveolar stops are reduced or omitted when between two consonants.,4,2,last straw,1
R#11 — Alveolar stop deletion/reduction between two consonants,Alveolar stops are reduced or omitted when between two consonants.,4,3,first time,1
R#11 — Alveolar stop deletion/reduction between two consonants,Alveolar stops are reduced or omitted when between two consonants.,4,4,best idea,0
R#11 — Alveolar stop deletion/reduction between two consonants,Alveolar stops are reduced or omitted when between two consonants.,4,5,past era,0
R#11 — Alveolar stop deletion/reduction between two consonants,Alveolar stops are reduced or omitted when between two consonants.,4,6,lost art,0
R#11 — Alveolar stop deletion/reduction between two consonants,Alveolar stops are reduced or omitted when between two consonants.,5,1,frost bite,1
R#11 — Alveolar stop deletion/reduction between two consonants,Alveolar stops are reduced or omitted when between two consonants.,5,2,guest speaker,1
R#11 — Alveolar stop deletion/reduction between two consonants,Alveolar stops are reduced or omitted when between two consonants.,5,3,act plan,1
R#11 — Alveolar stop deletion/reduction between two consonants,Alveolar stops are reduced or omitted when between two consonants.,5,4,post office,0
R#11 — Alveolar stop deletion/reduction between two consonants,Alveolar stops are reduced or omitted when between two consonants.,5,5,lost apple,0
R#11 — Alveolar stop deletion/reduction between two consonants,Alveolar stops are reduced or omitted when between two consonants.,5,6,best artist,0
R#12 — Epenthetic voiceless stop after nasal + before voiceless fricative,A homorganic voiceless stop may occur after a nasal before a voiceless fricative when followed by an unstressed vowel in the same word.,1,1,something,1
R#12 — Epenthetic voiceless stop after nasal + before voiceless fricative,A homorganic voiceless stop may occur after a nasal before a voiceless fricative when followed by an unstressed vowel in the same word.,1,2,youngster,1
R#12 — Epenthetic voiceless stop after nasal + before voiceless fricative,A homorganic voiceless stop may occur after a nasal before a voiceless fricative when followed by an unstressed vowel in the same word.,1,3,prince,1
R#12 — Epenthetic voiceless stop after nasal + before voiceless fricative,A homorganic voiceless stop may occur after a nasal before a voiceless fricative when followed by an unstressed vowel in the same word.,1,4,sunfish,0
R#12 — Epenthetic voiceless stop after nasal + before voiceless fricative,A homorganic voiceless stop may occur after a nasal before a voiceless fricative when followed by an unstressed vowel in the same word.,1,5,answer,0
R#12 — Epenthetic voiceless stop after nasal + before voiceless fricative,A homorganic voiceless stop may occur after a nasal before a voiceless fricative when followed by an unstressed vowel in the same word.,1,6,sandstorm,0
R#12 — Epenthetic voiceless stop after nasal + before voiceless fricative,A homorganic voiceless stop may occur after a nasal before a voiceless fricative when followed by an unstressed vowel in the same word.,2,1,hamster,1
R#12 — Epenthetic voiceless stop after nasal + before voiceless fricative,A homorganic voiceless stop may occur after a nasal before a voiceless fricative when followed by an unstressed vowel in the same word.,2,2,minstrel,1
R#12 — Epenthetic voiceless stop after nasal + before voiceless fricative,A homorganic voiceless stop may occur after a nasal before a voiceless fricative when followed by an unstressed vowel in the same word.,2,3,prints,1
R#12 — Epenthetic voiceless stop after nasal + before voiceless fricative,A homorganic voiceless stop may occur after a nasal before a voiceless fricative when followed by an unstressed vowel in the same word.,2,4,pencil,0
R#12 — Epenthetic voiceless stop after nasal + before voiceless fricative,A homorganic voiceless stop may occur after a nasal before a voiceless fricative when followed by an unstressed vowel in the same word.,2,5,sunset,0
R#12 — Epenthetic voiceless stop after nasal + before voiceless fricative,A homorganic voiceless stop may occur after a nasal before a voiceless fricative when followed by an unstressed vowel in the same word.,2,6,insight,0
R#12 — Epenthetic voiceless stop after nasal + before voiceless fricative,A homorganic voiceless stop may occur after a nasal before a voiceless fricative when followed by an unstressed vowel in the same word.,3,1,princely,1
R#12 — Epenthetic voiceless stop after nasal + before voiceless fricative,A homorganic voiceless stop may occur after a nasal before a voiceless fricative when followed by an unstressed vowel in the same word.,3,2,youngster,1
R#12 — Epenthetic voiceless stop after nasal + before voiceless fricative,A homorganic voiceless stop may occur after a nasal before a voiceless fricative when followed by an unstressed vowel in the same word.,3,3,something,1
R#12 — Epenthetic voiceless stop after nasal + before voiceless fricative,A homorganic voiceless stop may occur after a nasal before a voiceless fricative when followed by an unstressed vowel in the same word.,3,4,sense,0
R#12 — Epenthetic voiceless stop after nasal + before voiceless fricative,A homorganic voiceless stop may occur after a nasal before a voiceless fricative when followed by an unstressed vowel in the same word.,3,5,insist,0
R#12 — Epenthetic voiceless stop after nasal + before voiceless fricative,A homorganic voiceless stop may occur after a nasal before a voiceless fricative when followed by an unstressed vowel in the same word.,3,6,unsaid,0
R#12 — Epenthetic voiceless stop after nasal + before voiceless fricative,A homorganic voiceless stop may occur after a nasal before a voiceless fricative when followed by an unstressed vowel in the same word.,4,1,prince,1
R#12 — Epenthetic voiceless stop after nasal + before voiceless fricative,A homorganic voiceless stop may occur after a nasal before a voiceless fricative when followed by an unstressed vowel in the same word.,4,2,hamster,1
R#12 — Epenthetic voiceless stop after nasal + before voiceless fricative,A homorganic voiceless stop may occur after a nasal before a voiceless fricative when followed by an unstressed vowel in the same word.,4,3,youngster,1
R#12 — Epenthetic voiceless stop after nasal + before voiceless fricative,A homorganic voiceless stop may occur after a nasal before a voiceless fricative when followed by an unstressed vowel in the same word.,4,4,monsoon,0
R#12 — Epenthetic voiceless stop after nasal + before voiceless fricative,A homorganic voiceless stop may occur after a nasal before a voiceless fricative when followed by an unstressed vowel in the same word.,4,5,censor,0
R#12 — Epenthetic voiceless stop after nasal + before voiceless fricative,A homorganic voiceless stop may occur after a nasal before a voiceless fricative when followed by an unstressed vowel in the same word.,4,6,sunscreen,0
R#12 — Epenthetic voiceless stop after nasal + before voiceless fricative,A homorganic voiceless stop may occur after a nasal before a voiceless fricative when followed by an unstressed vowel in the same word.,5,1,something,1
R#12 — Epenthetic voiceless stop after nasal + before voiceless fricative,A homorganic voiceless stop may occur after a nasal before a voiceless fricative when followed by an unstressed vowel in the same word.,5,2,princely,1
R#12 — Epenthetic voiceless stop after nasal + before voiceless fricative,A homorganic voiceless stop may occur after a nasal before a voiceless fricative when followed by an unstressed vowel in the same word.,5,3,youngsters,1
R#12 — Epenthetic voiceless stop after nasal + before voiceless fricative,A homorganic voiceless stop may occur after a nasal before a voiceless fricative when followed by an unstressed vowel in the same word.,5,4,insult,0
